ISBN,Title,Author,Date Published,MSRP,New,Used
0807813052,"Bargaining for Supremacy: Anglo-American Naval Collaboration, 1937-1941","Leutze, James R",1977,0.00,108.0,45.05
9781477524749,Churchill's Secret Enemy: Mi5 And The Plot To Stop Winston Churchill,Pile,2012,0.00,36.69,29.3
9780199003938,"Canada and the End of the Imperial Dream: Beverley Baxter's Reports from London through War and Peace, 1936-1960","Thompson, Neville",2013,0.00,35.51,14.5
0802703232,Winston Churchill on America and Britain: A Selection of His Thoughts on Anglo-American Relations,Winston S. Churchill,1970,0.00,101.65,13.48
0333234677,Churchill And Eden At War,"Barker, Elisabeth.",1978,0.00,86.45,11.94
0842022104,Churchill: Retreat from Empire,"Callahan, Raymond",1997,1.99,82.64,11.48
0750942037,Royal Navy Handbook 1914-1918,David Wragg,2006,44.95,30.69,11.11
9780750962254,Churchill Comes of Age: Cuba 1895,"Klepak, Dr. Hal",2015,0.00,24.97,10.96
9780207151699,Menzies & Churchill at war: A controversial new account of the 1941 struggle for power,"Day, David",1986,0.00,66.38,10.31
0850521289,"Young Winston's wars;: The original despatches of Winston S. Churchill, war correspondent 1897-1900,","Churchill, Winston",1972,0.00,86.78,9.85
0395344026,"Winston S. Churchill, Vol. 6: Finest Hour, 1939-1941","Gilbert, Martin",1983,39,72.6,9.81
9780224014281,"Churchill on the Home Front, 1900-1955",Paul Addison,1992,0.00,96.15,9.78
9780198702542,Churchill and the Dardanelles,"Bell, Christopher M.",2017,0.00,27.51,8.53
1929154119,Painting As a Pastime,"Churchill, Winston",2002,0.00,38.18,8.16
9780312293130,The Prime Minister: The Office and Its Holders Since 1945,"Hennessy, Peter",2001,59.99,24.89,7.9
0395194059,Churchill; a photographic portrait,"Gilbert, Martin",1974,0.00,65.03,7.82
0525235108,Winston Churchill,"Pelling, Henry",1974,0.00,94.43,7.5
9780297846239,"BLOOD, SWEAT AND ARROGANCE: The Myth's of Churchill's War","Corrigan, Gordon",2006,0.00,33.7,7.43
9781941758106,The Man Within: Winston Churchill An Intimate Portrait,"Carlson, Alison",2015,50,25.81,6.72
